Anos,Norte,Nordeste,Sudeste,Sul,Centro_Oeste
2010,0.99,2.67,7.79,7.76,4.00
2011,1.31,3.08,8.48,8.44,4.11
2012,1.49,3.58,8.94,9.32,5.21
2013,1.83,4.04,9.21,10.11,5.10
2014,1.94,4.37,10.56,10.78,5.67
2015,2.51,5.56,11.06,11.26,6.35
2016,2.66,5.63,11.52,12.76,6.87
2017,3.08,6.51,11.96,13.48,7.85
2018,2.77,6.60,12.19,15.04,7.79
2019,3.42,7.76,13.62,15.50,9.34
2020,4.11,8.31,13.76,14.96,10.20
2021,3.86,9.15,14.59,17.00,9.04
2022,4.81,10.18,16.52,20.46,10.69
2023,5.56,10.64,16.73,19.57,11.12
2024,5.56,11.22,16.44,21.82,11.77
